#,Väljaanne,Kaebuse sisu,Lahendi kuupäev,Lahendi liik,Otsuse sisu,Koodeks,Väljaande nimi
1069 ,Eesti Päevaleht 17.09.21 Lugeda ja arvutada ei oska ,"Kaebaja leiab, et artikkel sisaldab tema kohta eksitavat ja valeinfot. Samuti ei ole kaebaja rahul, et talle sõna ei antud. ",18.11.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Päevaleht ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu leiab, et ajakirjanikul on õigus anda hinnang Statistikameti arvutustele ja kaebaja postitusele ning pidada usaldusväärseks ameti arvutusi. ",[],Eesti Päevaleht
1068 ,Postimees 10.09.21 Sakslasest politoloog nõuab kohtus Varro Vooglaiult 110 000 eurot ,Kaebajate hinnangul sisaldas artikkel eksitavat ja ebatäpset infot. ,18.11.21,tauniv,"TAUNIV: Postimees rikkus ajakirjanduseetika koodeksi punkti 1.4., mis näeb ette, et ajakirjandusorganisatsioon kannab hoolt selle eest, et ei ilmuks ebatäpne, moonutatud või eksitav informatsioon. Pressinõukogu hinnangul sisaldab artikkel ebatäpset infot nii hüvitise suuruse, konflikti kui ka kohtus nõutava hüvitise kohta. Samuti on ebatäpsused pildiallkirjas ja pealkirjas. ",['1.4'],Postimees
1067 ,Delfi 09.09.21 Kolm aastat vana vankrikaklus jõuab kohtus lõpusirgele. Varro Vooglaid esitas vastuhagi ,"Kaebajate hinnangul sisaldas artikkel ebatäpset ja eksitavat infot. Kaebajad ei ole rahul, et neile sõna ei antud. ",18.11.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Delfi ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul ei ole tegemist konflikti sisaldava materjaliga, mis nõudnuks osapoolte kommentaare. ",[],Delfi
1066 ,"Eesti Ekspress 08.09.21 Tapetud mehe ema jahmatav avaldus: ""Jutt oli, et enne ei liigu ei prokurör ega politsei, kui me ei maksa"" ","Kaebaja leiab, et artikli pealkiri ja juhtlause on eksitavad. ",18.11.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Ekspress ei eksinud ajakirjanduseetika koodeksi vastu. Kuna pealkirjas on kasutatud jutumärke, on aru saada, et tegemist on tsitaadiga ning samas on viidatud ka sellele, et need on tapetud mehe ema sõnad. ",[],Eesti Ekspress
1065 ,Delfi 14.09.21 Vaktsineerimisvastased kogunesid jälle Toompeale ,"Kaebaja hinnangul sisaldab artikkel valeinfot, sest EKRE ei olnud meeleavalduse korraldaja. Lisaks ei ole kaebaja rahul, et Delfi parandust ei avaldanud. ",18.11.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Delfi ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul ei avaldanud Delfi ebatäpset infot, sest uudises ei öelda, et EKRE on meeleavalduse korraldaja, vaid viidatakse EKRE algatatud eelnõule ja kutsele seda Toompeale toetama tulla. ",[],Delfi
1064 ,Eesti Ekspress 29.07.21 Vanadaami hooldaja pere võitis Villa Benitas müstilise jackpot´i. Sugulased kahtlustavad vargust ,"Kaebaja leiab, et artikkel jätab Benita Kodust eksitava mulje, kuigi tegelikult ei ole artikkel Benita Koduga seotud, tegemist on vaid sündmuspaigaga. Samuti ei ole kaebaja rahul, et Benita Kodu esindaja sõna ei saanud. ",18.11.21,tauniv,"TAUNIV: Ekspress rikkus ajakirjanduseetika koodeksi punkti 4.11, mis näeb ette, et fotod, fotode allkirjad, pealkirjad, juhtlaused ega saatetutvustused ei või auditooriumi eksitada. Pressinõukogu hinnangul ei ole Villa Benita kui eaka naise ajutine elukoht hooldaja operatsiooni ajal kuidagi seotud pärandi üle käivate vaidlustega ja jackpoti loosimisega ning seetõttu on Villa Benita nimetamine pealkirjas ja loo tutvustuses põhjendamata. ",['4.11'],Eesti Ekspress
1063 ,Harju Elu 16.06.21 Pole uut Reformierakonna päikese all? ,"Kaebaja leiab, et artikkel sisaldab tema kohta ebaõiget ja halvustavat infot. ",21.10.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Harju Elu ei rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul on tegemist arvamuslooga, milles autor võib oma hinnangutes tavapärasest kaugemale minna ning lisaks ei sisalda see kaebaja kohta tõsiseid süüdistusi. ",[],Harju Elu
1062 ,Postimees 26.08.21 Korruptsioonis süüdistatavad Otepää vallajuhid said uue kahtlustuse ,"Kaebaja hinnangul sisaldab artikkel valeinfot. Samuti ei ole kaebaja rahul, et sõna ei saanud. ",18.11.21,tauniv,"TAUNIV: Postimees rikkus ajakirjanduseetika koodeksi punkti 5.1., mis näeb ette, et kui kellegi kohta avaldatakse tõsiseid süüdistusi, tuleks talle pakkuda kommentaari võimalust samas numbris või saates. Pressinõukogu hinnangul on Oja Ehitus antud artiklis pandud konteksti, mis jätab mulje, et tegeletud on kahtlaste asjadega, kuid selle kohta artiklis tõendeid ei ole. ",['5.1'],Postimees
1061 ,Delfi 02.09.21 ATKO liinide tegevus kuivab järjest kokku. Kes Harjumaad valitsevad? ,Kaebaja väitel sisaldab artikkel valeinfot. ,21.10.21,tauniv,"TAUNIV: Delfi rikkus ajakirjanduseetika koodeksi punkti 1.4., mis näeb ette, et ajakirjandusorganisatsioon kannab hoolt selle eest, et ei ilmuks ebatäpne, moonutatud või eksitav info. Pressinõukogu leiab, et kuivõrd tegelikkuses teenindab ATKO Grupp Harjumaal mitut liini, oleks pidanud artiklis selguse huvides nimetama ära ATKO Grupi tütarfirmad, kes Harjumaal liine teenindama on jäänud. ",['1.4'],Delfi
1060 ,"Eesti Ekspress 02.09.21 Võitlus narkomaanide süstlavahetuspunktiga läks korteriühistule kalliks maksma: ""Majarahvas on lihtsalt šokeeritud"" ","Kaebaja hinnangul sisaldab artikkel faktivigu. Samuti ei ole kaebaja rahul, et talle sõna ei antud. ",21.10.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Ekspress ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul ei esitata loos kaebaja kohta süüdistusi, mis nõudnuks kaebaja kommentaari. Lisaks kirjutati lugu kohtumaterjalide põhjal. ",[],Eesti Ekspress
1059 ,Rus.Postimees.ee 05.05.21 Nad varastavad kooli - matemaatika õpetaja kuulutas perekonnaklannile sõja ,"Kaebaja leiab, et väidete ja allikate õigsust ei ole kontrollitud. Samuti on kaebaja hinnangul artikli pealkiri eksitav. ",23.09.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Väljaanne ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on kaebaja saanud artiklis esitatud süüdistusi kommenteerida. Samuti tuleb artiklist välja, et toimetus on avaldatud fakte kontrollinud ja pakkunud sõna erinevatele osapooltele. ",[],Postimees
1058 ,Delfi 08.07.21 Koroona ja vaktsiinide kohta väärinfot jaganud Carmen Pritson hakkab Kiili kooli põhikoolilastele inimeseõpetust õpetama ,"Kaebaja hinnangul loob artikkel temast negatiivse kuvandi, loo pealkiri ja sisu on eksitavad. ",21.10.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Delfi ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul esitas Delfi hulgaliselt näiteid kaebaja postitustest või jagamistest, mis annavad eksitavat infot vaktsineerimise ja koroonaviiruse kohta. Seega on ka loo pealkiri põhjendatud. Pressinõukogu hinnangul on kaebaja avaliku elu tegelane. ",[],Delfi
1056 ,"Eesti Ekspress 21.07.21 Tallinna ""ärimees"" pettis kindlustuselt välja 26 000 eurot. Järgmisel katsel aga muutus liiga ülbeks ",Kaebaja hinnangul sisaldab artikkel valeinfot. ,21.10.21,tauniv,"TAUNIV: Leht rikkus ajakirjanduseetika koodeksi punkti 4.4., mis näeb ette, et ajakirjandus ei või inimest käsitleda kurjategijana enne sellekohast kohtuotsust. Pressinõukogu hinnangul on kaebaja isik artikli põhjal identifitseeritav, kaebaja on fotol, mille pildiallkiri kasutab muu hulgas mõistet „pätt“. Pildiallkirja ja kaebaja isiku vahel seoste tekkimist lugeja silmis pole välditud. ",['4.4'],Eesti Ekspress
1055 ,Eesti Ekspress 28.04.21 Ma olen koolipidaja ori - pildikesi elust Vene eragümnaasiumis ,Kaebaja hinnangul ei ole kontrollitud allikaid ja faktide õigsust ning lugu on ühepoolne. ,21.10.21,tauniv,"TAUNIV: Leht rikkus ajakirjanduseetika koodeksi punkti 5.1., mis näeb ette, et kui kellegi kohta avaldatakse tõsiseid süüdistusi, tuleks talle pakkuda kommentaarivõimalust samas numbris. Pressinõukogu hinnangul ei olnud antud materjal nii ajakriitiline, et see ilma kooli esindaja kommentaarita paberlehes avaldada. Samuti rikkus leht punkti 4.1., mis näeb ette, et uudised, arvamused ja oletused olgu selgelt eristatavad ning uudismaterjal põhinegu tõestataval ja tõenditega tagatud faktilisel infol. Pressinõukogu hinnangul sisaldab artikkel ebatäpset infot. ","['5.1', '4.1']",Eesti Ekspress
1054 ,"Õhtuleht 10.07.21 Kõik parkimisvägivalla ohvrid, ühinege! ","Kaebaja hinnangul rikub artikkel ettevõtte ja nende töötajate mainet. Samuti ei ole kaebaja rahul, et teine osapool sõna ei saanud. ",23.09.2021,õigeksmõistev,"ÕIGEKSMÕISTEV: Õhtuleht ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on tegemist arvamuslooga, milles autoril on õigus oma mõtteid ja kogemusi jagada. Lisaks ei ole kaebaja viidanud konkreetsetele väidetele või asjaoludele, mis loos ei vasta tõele. ",[],Õhtuleht
1053 ,Äripäev 22.06.21 Cinamon müüs legendaarse Kosmose kinohoone ,"Kaebaja leiab, et artiklis on tema kohta avaldatud valeinfot. Samuti ei ole ta rahul, et leht tema teadmata vastulauset muutis. ",23.09.21,õigeksmõistev,ÕIGEKSMÕISTEV: Äripäev ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul pakuti kaebajale sõna. ,[],Äripäev
1052 ,"Pere&Kodu juuni 21 Lapse sünd viis lahku: on paratamatu, et naine armastab last mingil hetkel rohkem kui meest ","Kaebaja hinnangul kahjustab artikkel eraelu puutumatust ja lapse huve. Kaebaja leiab, et artikkel sisaldab valeinfot. ",26.08.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Ajakiri ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on tegemist kogemuslooga ja sellest ei tule välja, et kaebajal on käimas vaidlus lapse hooldusküsimustes. Pressinõukogu hinnangul on lapse isa tuvastatav piiratud ringile inimestele. ",[],Pere&Kodu
1050 ,Postimees 05.06.21 Biolagunevad kotid - kasutada vaid viimases hädas ,"Kaebaja hinnangul sisaldab artikkel valeväiteid ja eksitavat infot. Samuti ei ole kaebaja rahul, et sõna ei saanud. ",21.10.21,tauniv,"TAUNIV: Postimees rikkus ajakirjanduseetika koodeksi punkti 4.2., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Kuna antud artiklis on üks konflikti osapooltest biolagunevate kottide müügiesindaja BioBag Baltic, sest loos on nimetatud Biobag kotte, siis oleks pidanud ka firma esindajale artiklis sõna andma. ",['4.2'],Postimees
1048 ,Õhtuleht 05.05.21 Riigikogulase ja kunstniku kohtuvaidlus sai läbi ,"Kaebaja leiab, et artikkel sisaldab faktivigu. Samuti ei ole kaebaja rahul, et talle sõna ei antud. ",23.09.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Õhtuleht ei eksinud ajakirjanduseetika koodeksi vastu, artikkel kajastab kohtulahendit ning seetõttu puudus vajadus ekstra ühelt poolelt täiendavat seisukohta küsida. Ka on põhjendatud kaebaja nimetamine kunstnikuks, sest ta ise on oma blogis kirjutanud, et teda võib nimetada portreekunstnikuks. ",[],Õhtuleht
1046 ,Õhtuleht 04.05.21 Madis Sütt peab Isamaast na***i tõmbama! Parempoolne väidab: Seeder ja Sibul olid 400 uuest liikmest teadlikud ,Kaebaja hinnangul on artikli pealkiri ebatsensuurne ja teda solvav. ,17.06.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Õhtuleht ei eksinud ajakirjanduseetika koodeksi vastu, sest tegemist on pigem maitseküsimusega. ",[],Õhtuleht
1045 ,"Postimees 17.05.21 Kapo ""lemmikoperaatori"" lai haare: püsikundedeks Tallinna linn ja Vene meedia ","Kaebaja leiab, et artikkel sisaldab tema kohta ebaõiget infot. ",26.08.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Postimees ei eksinud ajakirjanduseetika koodeksi vastu, sest tegemist on varem Aarne Rannamäe poolt ajakirjanduses välja öelduga. ",[],Postimees
1043 ,Eesti Ekspress 28.04.21 Vähihaige lapse eest väljaastumine viis aastateks kohtu ette ,Kaebaja hinnangul sisaldab artikkel valeväiteid. ,17.06.21,õigeksmõistev,ÕIGEKSMÕISTEV: Ekspress ei rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul kajastab artikkel kohtuprotsessi ja sisaldab kaebaja seisukohti ja sõnumeid vastaspoolele. ,[],Eesti Ekspress
1041 ,Eesti Ekspress 05.05.21 Kolumnist Triin Teramäe lennutas haisva kakapoti naabri terrassile. Naabrid: ta on meid peaaegu aasta aega terroriseerinud ,"Kaebaja hinnangul sisaldab artikkel valesüüdistusi ja laimu. Kaebaja ei ole rahul, et leht tema vastulauset ei avaldanud. ",26.08.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Ekspress ei eksinud ajakirjanduseetika koodeksi vastu, sest kajastas avalikku kohtuistungit ja seal kõlanud mõlema osapoole seisukohti naabritevahelisest konfliktist. Kaebaja nime avaldamine on põhjendatud, sest Triin Teramäe on ise avalikkuses oma arvamustega tähelepanu otsinud. ",[],Eesti Ekspress
1040 ,Maaleht 04.05.21 Planeeritava ujula asukoht võib Elvasse võimuvahetuse tuua ,"Kaebaja hinnangul sisaldab artikkel valefakte ja spekulatsioone, mida kaebaja kommenteerida ei saanud. Lisaks ei ole kaebaja rahul, et leht vastulauset koheselt ei avaldanud. ",23.09.21,tauniv,"TAUNIV: Maaleht rikkus ajakirjanduseetika koodeksi punti 1.4., mis näeb ette, et ajakirjandusorganisatsioon kannab hoolt selle eest, et ei ilmuks ebatäpne, moonutatud või eksitav info. Pressinõukogu hinnangul avaldas leht ebatäpset infot hoone rajamise aja, taristu, pindala, külaliskorterite ja küsitluse kohta. Leht andis vallavalitsusele küll sõna, kuid ei küsinud kommentaari kõigi probleemsete väidete kohta. ",['1.4'],Maaleht
1039 ,Lõuna-Eesti Postimees 16.04.21 Vallavanemale saadetud kirjad jäid vastuseta ,"Kaebaja leiab, et artikkel sisaldab ebaõiget infot. Samuti ei ole kaebaja rahul, et sõna ei saanud. ",17.06.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Leht ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul ei ole Taheva Sanatooriumi aadressil artiklis otsest süüdistust, pigem on loo fookus valla ja kodaniku suhtlusel. ",[],Lõuna-Eesti Postimees
1036 ,Postimees 09.02.21 Karantiin maa all. Eesti ei saa kuidagi lahti massihooldekodudest ,"Kaebaja hinnangul on artikkel halvustav, sisaldab hulga valeväiteid ning sisuliselt hooldekeskusele sõna ei antud. ",17.06.21,tauniv,"TAUNIV: Leht rikkus ajakirjanduseetika koodeksi punkti 4.2., mis näeb ette, et konflikti sisaldava materjali puhul peab ajakirjanik ära kuulama kõik osapooled. Pressinõukogu hinnangul on soklikorrusel kliendi luku taga hoidmine tõsine etteheide, millele oleks pidanud Lõuna-Eesti Hooldekeskuselt kommentaari küsima. Samuti rikkus leht punkti 4.1., mis näeb ette, et uudised, arvamused ja oletused olgu selgelt eristatavad ning uudismaterjal põhinegu tõestataval ja tõenditega tagatud faktilisel infol. Pressinõukogu hinnangul on faktid ja oletused artiklis läbisegi. ","['4.2', '4.1']",Postimees
1035 ,Postimees 29.01.21 Hämarad käigud kommirahaga kõigutavad Valga vallavõimu ,"Kaebaja leiab, et artikkel sisaldab ebaõiget ja moonutatud infot. Kaebaja ei ole rahul, et teda käsitletakse kurjategijana ja et talle sõna ei anta. ",27.05.21,õigeksmõistev,ÕIGEKSMÕISTEV: Leht ei rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul sai kaebaja tema kohta esitatud süüdistusi kommenteerida. ,[],Postimees
1034 ,Postimees 29.01.21 Hämarad käigud kommirahaga kõigutavad Valga vallavõimu ,"Kaebaja hinnangul on artikkel ühekülgne, sisialdab ebaõiget ja moonutatud infot. Samuti ei ole kaebaja rahul, et ei saanud võimalust kommentaariks. ",27.05.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Leht ei rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul sai kaebaja tema kohta esitatud süüdistusi kommenteerida, peamine etteheide põhines Valga vallavolikogu revisjonikomisjoni ametlikel järeldustel. ",[],Postimees
1032 ,MK-Estonia 17.02.21 Kõik põleb sinise leegiga ,"Kaebaja hinnangul on artikkel ebatäpne, kohatu, esitab süüdistusi ja kahjustab mainet. ",27.05.2021,tauniv,"TAUNIV: Leht rikkus ajakirjanduseetika koodeksi punkti 5.1., mis näeb ette, et kui kellegi kohta avaldatakse tõsiseid süüdistusi, tuleks talle pakkuda kommentaari samas numbris. Pressinõukogu hinnangul on kindlustuspettuses süüdistamine nii tõsine, et kaebajalt oleks pidanud kommentaari küsima. ",['5.1'],MK-Estonia
1031 ,"Elu24 04.03.21 Juku-Kalle Raid: seal kus lõpeb mõistus, algab soeng ",Kaebaja hinnangul kahjustab artikkel juuksurite mainet. ,22.04.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Elu24 ei rikkunud ajakirjanduseetika koodeksit. Pressinõukogu hinnangul oli tegemist arvamuslooga, milles kommenteeriti kaebaja pöördumist. ",[],Elu24
1030 ,Delfi Ärileht 04.03.21 Juuksurid soovivad saada eesliinitöötajateks: oleme hetkel mjanduse alustalad ,"Kaebaja ei ole rahul, et ajakirjanik ühenduselt kommentaari ei küsinud. Kaebaja hinnangul tekitab artikkel mainekahju. ",22.04.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Delfi ei rikkunud ajakirjanduseetika koodeksit. Artiklist tuleb välja, et lugu põhineb kaebaja pöördumisel Terviseameti poole, mis on avalikult kättesaadav dokumendiregistris. Kuna artikkel pöördumisele midagi ei lisa ja konflikti ei sisalda, siis puudus väljaandel vajadus täiendavalt kaebaja poole pöörduda. ",[],Delfi
1029 ,Postimees 27.02.21 Laevaagent: valitsusel pole õigust STS-operatsioone keelata ,"Kaebaja hinnangul on artiklis ebatäpne ja moonutatud info ning uudised, arvamused ja oletused ei ole eristatavad. ",27.05.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Leht ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul sisaldab artikkel kaebaja seisukohti, lisaks pakkus toimetus kaebajale korduvalt sõna ja esitas küsimusi, kuid kaebaja vastuseid ei andnud. ",[],Postimees
1027 ,Pärnu Postimees 30.01.21 Raeküla-Reiu suusaradadelt nähtub rabe asjaajamine ,"Kaebaja ei ole rahul, et süüdistustele vastamiseks sõna ei saanud. Samuti peab kaebaja loo pealkirja hinnanguliseks. ",25.03.21,õigeksmõistev,ÕIGEKSMÕISTEV: Leht ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul võtab artikli pealkiri kokku loo sisu. Samuti on saanud kaebaja võimaluse kommentaariks. ,[],Pärnu Postimees
1024 ,Meie Maa 16.12.20 Pihtla õlleköök tähistab juubelit ,"Kaebaja leiab, et artikkel sisaldab valeinfot. ",25.03.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Kaebajal puudub antud artikli puhul kaebeõigus. Meie Maa ei ole eksinud ajakirjanduseetika koodeksi vastu, sest kaebajat selles ei mainita ega esitata tema kohta süüdistusi. ",[],Meie Maa
1023 ,Delfi 11.02.21 Äripäev: Eesti idufirmal Fortumo leping Myanmari telekomiga ,Kaebaja hinnangul on artikkel moonutatud ja eksitav. ,27.05.2021,tauniv,"TAUNIV: Delfi rikkus artikli algse pealkirjaga ajakirjanduseetika koodeksi punkti 4.11, mis ütleb, et pealkirjad ei või auditooriumi eksitada. Pressinõukogu hinnangul on pealkiri, mis ütleb, et Fortumo tegi diili Myanmari sõjaväelise huntaga, eksitav, sest Äripäevast refereeritud artiklist endast selgub, et Fortumo partner on sõjaväe osalusega telekomifirma, millega sõlmiti leping enne riigipöörde toimumist riigi eelmise valitsuse ajal. ",['4.11'],Delfi
